,label,sentence
2183,joy,When I took my entrance exams successfully and also when I got my á school leaving certificate because the delivering ceremony was á extremely official.
370,fear,On the way down a ski slope which was difficult and steep.
6774,anger,"I was angry the other day because the teacher told me to sweep á some orange peels. It was my friends who were supposed to sweep, á but the teacher told me to do it."
6083,shame,[ No response.]
659,anger,My father and I had an argument because I do not help enough at á home.
6625,sadness,"I was watching T.V with my parents and some pornographic scenes á came on, I felt uncomfortable and tried to distract my parents á attention by talking to them."
2541,anger,"When my brother went out with my new shirt that I adored, and á returned it dirty with grease."
5651,disgust,When my roommate forgets to flush the toilet.
5890,guilt,"When my friend failed an exam by just one mark.  During this exam á she had asked me to show her my answer sheet and I had not done á it.  When the results came out, I thought that had I shown her my á answer sheet she would have passed the exam.  I felt guilty as I á had failed her."
5436,fear,Being threatened by another person.
865,guilt,"When being illoyal (disloyal) to people close to me. Had such an á episode with my sister, who should have received my support and á attention."
6816,anger,One of my friends went and told another friend of mine that I was á going abut with another guy in Lilongwe besides the one I had. á She said I was seen with him hand in hand.
3245,guilt,When I had to lie about my age to be accepted as a member of a á group.
4421,sadness,When I am with a friend and we have to leave each other.
638,anger,"There was a sofa in my flat which belonged to the old tenants who á were acquaintances.  It should have been picked up a year ago but á they had postponed it.  Eventually they decided on one date and I á stayed at home despite the fact that I had other things to do.  á They did not come, nor did they call and they still have not got á in touch with me."
2217,shame,When bathing at surf beach & lost togs.
1993,guilt,"I wasn't able to see my girlfriend on her birthday and because I á was late arriving home from uni, I didn't phone her as arranged á at a certain time (she rang in the meantime)."
4237,joy,An invitation to spend 5 days at the seaside with all expenses á paid.
4174,joy,"When I pass exams, or when a close friend of mine recovered á from an illness,etc."
5262,fear,A friend gave me a lift and we met a road-block.  He tried  to á turn back when an officer shouted at us to stop.  My friend took a á turn suddenly and the officer raised his gun but by the time we á were gone.
358,sadness,I talked to my boyfriend on the phone when I was in high spirits á and had a lot to tell him.  I had been looking forward to this á conversation and he did not listen to me to the extent that I á had anticipated.
5666,shame,The first time I slept at my boyfriends house and had to walk á down the hall to the shower in front of his housemates. I felt á they were judging me.
6026,disgust,"When I was in a Christian institution, sometimes the nuns would á send back the people who came to visit us when it was not the á visiting hours.  This disgusted me."
4268,sadness,The disqualification of two of my mates in the military service.
3650,joy,When I passed the driving test (on the second try).
256,sadness,When I read a lot and did not remember anything.
1981,fear,I was walking to my car at night and thought that I was being á followed.
4227,disgust,When I saw several people washing their car with water from a á drain.
1904,fear,"I was a passenger in a jumbo-jet which was accelerating down the á runway and almost at the point of take-off, when the pilot á suddenly braked and put the engines into reverse thrust, in an á obviously urgent attempt to stop the aircraft. The hostesses show á signs of concern and my first thought was that something was on á the runway in our path and that we were in danger of hitting it."
5924,guilt,"I had gone to see one of our professors about a book, and I did not á  attend the class she took a few minutes later.á "
6979,fear,Watching a horror film.
6095,sadness,"My close friend and I applied to TISS for admission last year, á unfortunately he failed to get admission.  We had done our graduation á together and are quite involved with each other, so we had wanted á to do our Masters degree together.  However, it did not work out á as we had expected it to and this saddened me."
6442,fear,When my friend was involved in a car accident.
4612,shame,I got pass marks in the H.S.S compulsory courses while most á people performed well.
1355,shame,"When I was going downhill on skis, and fell down twice the first á time."
2413,anger,"When my mother slapped me in the face, I felt anger at that á moment."
7586,disgust,"During these Summer vacations a schoolmate who was not in my á class went to Britain.  Before he left, his classmates and some á of us who were accquainted with him had a B.B.Q on the beach.  á When I arrived I saw that some people , who were not close á friends of the departing person(person A), were playing mahjong.  á Some others were playing bridge and A had nothing to do, besides á it was A who had prepared the food.  Later when we wanted to talk á and his classmates did not even have the decency to listen to him.  á They only asked him a few questions half-heartedly and then they á talked on their own.  Some of their conversation was against me and  á another classmate."
5974,fear,I was in a garden one evening and I saw a snake coming towards á me.
4162,anger,"During an argument between friends, one of them accused me of á taking advantage of some other friends who usually come to the á university in my car, saying that I ask them too much money for á the petrol."
4830,guilt,When my boyfriend asked me to go out with him and I refused á because I wanted to go out with another guy.  I did go out and my á boyfriend found out.
3860,fear,DO NOT REMEMBER.
2983,disgust,A lie on the part of a person close to me.
850,shame,Telling friends about how my parents had been treating my á brothers and sisters unfairly.
3420,disgust,Having unwanted attention paid to me in my place of work - á harrassment (and sexual harrassment) by another worker - á disgusted by his implications.
502,joy,"When I dived among sharks and the brightly coloured fish on the á outer reef of Tvavni, Fidgi."
1260,sadness,"The breaking up of a relationship.  We decided that the á relationship could not carry on, so it was no surprise to me. á And anyhow, I had known it would happen sooner or later."
3390,anger,My boyfriend promised to take me to see a game of tennis and rang á saying he was going to the pub with some of his friends instead.
7217,anger,Being insulted in public for the wrong reason.
7266,shame,Criticized by a teacher in public.
1915,shame,"When I realised that I had become too emotionally involved with á the person I'm going out with, and when I began to like someone á else and questioned whether I really care about person I'm with."
1603,disgust,"The acts of brutal violence in generally disgusts me. Fights, á phisical aggrssion, etc."
3964,shame,"I was eating in a very nice restaurant, when the servant asked á whether I liked the food I told him that I liked it but that á there was one thing which wasn't so good. The servant than worked á very hard to make it good."
3989,anger,"My girlfriend one day went out and promised to be back at 6.00 pm á however she first arrived at 10.00 pm, without a message (we had á to go out that evening)."
932,sadness,As a ten-year-old I was at the funeral of my grand-father.  It was more á the ceremonies held in the church and not really the death of my á grand-father which made me sad.
6396,disgust,I was disgusted with the behaviour of one of my fellow students á during my Secondary School life. He was a habitual noise-maker á and caused great conflicts with the teachers.
879,guilt,Not keeping a promise of delivering materials of great importance á to the receiver.
3139,fear,It was some years ago when one evening some people came home and á told us my father was badly injured in an accident.
3599,anger,"One day, when I was a child, my grandmother shut me up in a room."
4992,joy,When the lady who is now my wife accepted my proposal to be my á lover and future wife.
667,sadness,When I woke up after a nightmare.
3698,guilt,"When I realised that I had rejected a boy, who was fallen in love á with me, rather bluntly four times."
4008,joy,"I felt joyful when my boyfriend met me at the station, while at á first he had said that he would not do that."
925,sadness,When a girlfriend left me.
413,anger,Some noisy guests arrived at the hotel.  I had been slightly á irritated earlier.  At night when I was trying to sleep they were á having a party so I went and yelled at them.  I wanted to sleep á as I had to get up early the next day.
6494,shame,This was when one of the Clinical officers scolded us in the á hospital on how to make beds but we did not deserve to be á scolded.
5200,joy,"When last year in college I received the award \Best Student of the Year\"", á   I felt very happy as I got what I had wanted and my wish had á been fulfilled.á"
3781,anger,"In 1983 a sadist provoked my sister in my presence.  He tried á to force my sister into accompanying him to his place, but my á sister did not agree and so she was kicked and she fell down.  á There was a fight."
2468,guilt,"I had parked in a corner, and when I was going out I didn't watch á if another car was coming and went out. The car that was coming á was obliged to stop suddenly. It didn't crash but for a little."
1736,guilt,"I threw away an object, which belonged to a friend, because I did á not know what to do with it. My friend was very sad about that á and I felt guilty."
6250,sadness,My friend was badly hurt.
903,anger,"Having gone to school without learning anything, as usual."
193,sadness,"My grandmother died, and my mother called me one sunday morning á in the Autumn.  The way my mother told me about it, I hated her á at that moment.  She sounded as if she had been waiting for the á death of my grandmother.  I had lost a person close to me.  I á felt guilty too as I had been bad to my grandmother of late.  I had not á remained calm when she no longer understood everything so well."
5295,guilt,When I realized that not all my friends like the comments that I á pass in their presence.
520,disgust,[ No response.]
6672,fear,I was alone walking in a deserted part of the city and I had some á fear that some men would attack me and rob me.
7436,fear,Looking for the toilet in a dark place.
5928,sadness,"[ When someone tells me something that hurts me, I feel bad about á it and also feel sad.]"
4565,joy,When some friends of mine asked me to go camping with them for a á fortnight.
1153,fear,"At the railway station, while waiting for the last train at night á I noticed that a drunk young man was appraching me in a á purposeful mannner."
580,guilt,I had a quarrel with near persons. I said many ill-considered á things and I regretted it when it was to late.
6146,shame,"When I was detained one day in school, by the vice-principal, for á indiscipline."
1619,joy,After my final examination at school I was glad that the á examination was over and that I had passed it.
4846,fear,After having taken an exam i feared having failed it.
1588,disgust,People spitting in railway stations.
4920,shame,As a kid my mother caught me stealing sugar and giving it to a á neighbour.
1792,guilt,My sisters asked me to fetch them at a discotheque which is 5 km á off. There was a thick fog and snowfall. There was not enough á room in the car for all of them and they asked me to go there á once again. When I did not do that they had a way to make me feel á guilty.
2149,joy,"When finally I found a place to live, I felt relieved, predicting á changes in my life, and I became happy."
576,anger,"I moved to a flat. A friend who had lived there before, had left á the flat in a terrible mess. I was very angry about that á sloppiness and impudence."
5394,sadness,"I wanted something in particular and did not get it, also there á was no possibility of getting it."
7044,disgust,Someone being arrogant to me.
1707,shame,At a carneval-party I smooched with a man - some days later I was á rather ashamed for that.
7145,joy,Receiving a nice present from my parents.
4247,sadness,When my mother was operated.
2240,joy,"When I was a child, my beloved cat gave birth to four beautiful á little kittens. Before she had them, she came up to me and I á followed her out, then witnessed them being born."
4007,guilt,After the death of a girl who I disliked.
5485,shame,After the car accident in GUILT.
5567,disgust,A friend of mine had sex with someone of a different race on a á Winnebago trip down to USC in front of everyone (all my friends á embarrassed my sorority house name).
4338,sadness,"[ During a summer holiday a French girl and I had becoe back á home, I felt very sad.]"
1043,sadness,I had had a farewell party at the place where I had been working á for a year.  That night I could not fall off to sleep.  I was sad á thinking that I would not see my nice fellow workers again.
4339,disgust,Once I had to clean a lavatory which was obstructed.  It was in a á friend's country house and there was nobody there to help me.
2611,anger,"In the University we were convoked to a stroll like a freshman I á was still innocent about the manipulation. On seeing the goal of á the exaltation to poor character people, I felt anger on feeling á myself mass of maneuver."
6245,shame,Not collecting homeworks in time to give the teacher.
14,joy,[ On days when I feel close to my partner and other friends.  á When I feel at peace with myself and also experience a close á contact with people whom I regard greatly.]
6741,disgust,"The carterer refused to give me sugar to add to my tea saying á that there was no sugar whilst it was there, so I left the cafe á disgusted without taking the tea."
617,anger,When a close relative is treated badly.
738,disgust,Can't describe any disgust situation.
3742,disgust,"Bisshop Ter Schure intoduced himself on TV to the Dutch Nation. á He spoke as if he was God himself, and didn't discuss the way he á had achieved this position."
3697,shame,"When I embarrassed a friend by asking him aloud if a certain á person was \the source of gossip\"" he told me about, while that á person was also present."""
6739,anger,The headmistress at a secondary school accused me of banging the á classroom door when I didn't in front of the whole class.
3159,joy,When I got a message that I was employed as a nurse at a á kindergarten.
7598,anger,My friend often played a joke on me and sometimes I thought that á he was a nonsensical person. Once when we went to a friend's á house he walked in first and shut the door firmly behind him.  I á felt that he did not respect me and moreover I was his friend so á he should not have behaved like that.  I was very angry (as it is á I was in a bad mood then).
1724,fear,I was in a dark cellar and saw a glowing red point. I thought á that it was a person with a cigarette - but it was only the red á switch.
7190,sadness,My parents failed to visit me as they promised.
3832,fear,"Sitting alone in a quiet room, concetrating on things happening á around you. Thoughts come into my mind which make me afraid."
1020,joy,"When I got home from my job, I found a letter from the university á telling me that I had been admitted to begin my studies."
4930,fear,I went home late one evening and saw that the security lights á were off.  I got inside the gate and just then I realized that á the dogs may be outside.
6807,joy,I felt joyful when I heard that I had been selected for College á education.
6115,anger,I felt angry when repeated pleas to the ticket collector and the á co-passengers in order to make a queue fell on deaf ears.  I have á this feeling whenever someone is not disciplined and methodic in á doing his duty.
4502,joy,"One evening, I was with a group of friends having a talk.  There á was a very trustful and joyful atmosphere."
3276,anger,"I live by myself and a few weeks ago was woke by a man on the end á of my bed coming up my bed at me. I was really angry, told him to á get out. He was surprised, hesitated; I started to move towards á him and he backed off - kept telling him - loudly, but firmly to á go. Because I'd got the initiative, I succeeded. A very powerful á message."
4657,fear,When a thief broke into my house at night.
2608,guilt,It happens sometimes in connection with certain persons with whom á I have frequent relationships but nothing special.
3180,joy,Felt joy a few years ago when I was away on holiday. And sat very á close to my best friend looking straight into the eyes.
3718,anger,When a friend who comes visiting me unexpectedly asks for coffee á and I refuse to give him this.
5253,guilt,"When my mother found me in her bedroom \stealing\"" sugar in her á bedroom.  According to our customs there comes a stage when a á child stops using the parents bedroom and I was well past that á age."""
4598,shame,"The time I shouted at most of my friends at a party.  It was as if á  all my friends had done something wrong, or may be it was the á influence of the beer."
4880,joy,I was very happy when I received the year end results as I was á worried about how well I had done.  I was very happy to know that I á had passed.
6561,anger,One day I was really angry when all my food was eaten by a dog. á My anger was against my mother because she was careless. She á didn't keep the food in a hidden and proper place.
4423,shame,When I was in the toilet and someone came in.
779,disgust,"This is difficult, since I don't remember feeling disgust towards á anyone."
4451,shame,"At a concert an old man arrived and began to danse, sing and do á silly things."
264,joy,When I passed an exam.
2782,guilt,When I have been overhastingly offending or hurting.
2693,guilt,"I felt guilty after getting really angry with a friend and having á an argument. I was being stubborn and proud, and selfish, because á my friend let me down, through no fault of her own."
6976,shame,Failing in an examn.
2566,guilt,"My daughter was a baby and was crying to be taken on my lap. I á felt very nervous and moved her away and went out. As soon as the á feeling of nervousness passed I was taken by an enormous feeling á of guilt, for having rejected my daughter."
4582,sadness,When my grandfather died.
6886,anger,Saw in the TV South Korea cheating in the Asian Olympic games.
755,joy,When my term paper was evaluated.
3581,shame,"During carnaval I danced for a few minutes normally I don't dance á because I am rigid in my moving around during a dance, I stopped á very soon."
4723,disgust,Over an argument.
2243,sadness,"Upon moving away from home for the first time to a different á city, I felt no longer \under the wing\"" of my parents even though á they would always be there to help me. I felt a sense of loss, I á was now all alone in the world, responsible for my own actions."""
2550,disgust,I felt disgust when I kissed a guy that I know. I was on the outs á with my boyfriend and this person appeared but he has nothing to á do with me.
1303,anger,"Without my permission, my son had made popcorn after coming back á from school.  The consequences were a spoilt kettle and chaos in á the kitchen but what could have happened with the hot grease ?"
3542,joy,When passing the final examinations for social worker.
452,guilt,When I was forced to decline the invitation to my mother's 70th á birthday because of my work committments in another area.
711,shame,"Hit a dog with my car, and didn't stop."
7071,sadness,Father lost his temper at home because he was mistreated at work.
3878,shame,When coming up for trial because of shop lifting.
1237,fear,"My boyfriend hinted over the phone about wanting to \be free\"".  á He thus did not say it point blank, silence followed."""
6027,shame,[ No response.]
5460,disgust,People talking in an important lecture.
2176,guilt,Once when I complained I caused a great discussion between my á parents.
590,guilt,I had wasted some time instead of doing something I needed to do á to give to a friend. (Also in the time I wasted I had done some á things I did not consider morally right).
3473,fear,I imagined I heard footsteps up the hall while sleeping in bed á one night by myself in the house.
4139,joy,The day the Real Madrid team of basket ball qualified for the á final at Athens.
3123,guilt,Last year I put off an exam for the autumn session without á knowing if there was a supplementary examination session. When I á came home with my exam unpassed I felt guilty before my parents á when I remembered how much they had done for me.
6675,disgust,I received a letter which was too strong for me. It said I had á done something which I really didn't do.
5219,shame,I was misbehaving in the agency.
2631,shame,When I saw my father coming out of the bathroom. He thought that á he was alone at home and came out without his clothes.
4534,disgust,"In a park near our home, a group of young people who were á strangely dressed were seated in the middle of the street.  They á began to eat while carressing each other."
1434,disgust,In a certain book I read about cruelties and violence in prison á and souteneur circles; I felt especially disgusted when I read á detailed descriptions of physical and mental torture of less á powerful people.
3423,joy,I was very pleased and happy when my older sister came home from á living somewhere out of town and I hadn't seen her for months. We á are very close sisters.
5277,anger,When my father banned me from going to his sister's home due to á some misunderstanding between the two.
7009,sadness,Saw poverty in the countryside.
1323,fear,When I was walking on a fairly out-of-the-way street.
4658,anger,When my sister broke my china tea set.
7426,shame,During a meeting I said something wrong and the others laughed at á me.
3794,anger,My younger brother destroyed and gave away some of the books that á I had intended to keep for as long as possible.
3990,sadness,When my girlfriend decided to finish our relation.
2200,sadness,I was alone at home on New Year's Eve.
2182,guilt,I was in a sanatorium. In front of me a boy fell down from his á invalid's chair. I could help him but I didn't. I felt like being á paralysed.
1170,disgust,[ When some people act very important in any situation.]
6824,sadness,My child passed away after a short illness when he was just á eleven months old. I was only told about his death without á knowing that he had been ill.
4357,anger,"When they broke the artistic work of several weeks.  Changes were á made and it was broken without permission, they had no right to á do this."
2179,sadness,I got separated from the man I loved.
4970,guilt,We were at secondary school and I was making a lot of noise.  The á teacher came to ask us as to who was making all the noise.  I did á not own up so the  whole class was punished.
1432,anger,"A friend of mine tried to persuade me to go at her place to act á as a model because she felt too tired. It was a quarter of an á hour before the appointed time, I had just lied down and did not á want to go because it was too late anyway. She said that I only á was talking about looking for work, but if it was possible I á would not accept it. I was angry about this unjust judgment."
1565,anger,"When I wanted to talk to someone I liked and whom I have been á told likes me (by his brother and even by himself) however he á avoids any confrontation, and is vague."
6933,joy,Scoring a goal in football match.
2765,sadness,I feel sad when I see things done against men and nothing could á stop it - at least I think so.
1490,disgust,"I read a book about the situation in South-Africa, about the á terrible violations of human rights. I was disgusted with the á white population."
3174,fear,"Walking home at night after university - part of the way, there á are ano lights and I am walking down a thoroughfare with the á thouth of no one hearing me if I have to scream."
4792,sadness,"When my wife died in hospital, she was pregnant and had undergone á an operation."
3526,shame,I ate very fattening food in front of my boyfriend who would like á me to lose weight. I am supposedly pursuing a modelling career á but first I must lose weight. I had been trying to diet.
1677,anger,"At an examination I got a bad mark just because of a small á mistake. When I went to the lector and wanted to talk about that, á he did not listen to me but sent me away."
5080,disgust,I came across a woman in town who was very drunk.  She was á swearing at everyone and carried on drinking even though she á could hardly stand.
6157,anger,This was the worst incident of my hostel life.  I was insulted by á a close friend of mine on the eve of the New year and it totally á spoiled my New year's night.
4717,shame,When I received a letter from my girlfriend telling me that she á was engaged to an another man.
4806,sadness,When my close friend was involved in an accident and passed away á instantly.  He had gone to buy a new car and had asked me to á wait at his home so that I could see his new car.
4135,sadness,When I saw the pictures of the draught in Etiopia.
7282,joy,"I went on a picnic to the country side park.  The beautiful á scenary made me feel relaxed and every worry disappeared , thus á the picnic was worthwhile."
6929,sadness,My uncle died in the Vietnam War.
3774,anger,When a pick-pocket robbed me of my money (K20) while I  was á buying bathing soap.
7434,guilt,I took french leave to do my homework.
1679,disgust,"When I watched a report about El Salvador on TV, I saw people who á had been murdered by terrible methods."
5866,sadness,When I heard my sister got in a bad car accident.
1745,fear,Before an examination: I had the fealing that I had not learned á enough.
4138,guilt,When I failed an exam for which I knew that I had not studied á hard enough.
4300,joy,"When they phoned me from Great-Britain to tell me that I could go á there, if I wished, in Summer."
1831,sadness,"My dog, whom I had had for eleven years, died. I watched his á soporification."
3181,fear,I had to tell someone that I was interested in remaining celibate á and alone. And that my spiritual master strictly prohibited á sexual relations outside of marriage. This caused great fear á through lack of conviction afraid to hurt someone's feelings á despite my own being hurt in the process.
2946,disgust,"I feel disgust with some people when I see what they are capable á of, including lack of any dignity, when trying to find a seat in á the tram."
7197,sadness,Being sexually assulted and told my friends about it (we cried á together).
6163,fear,I received a letter from my college telling me that I would not á be allowed to sit for the exams because of my low attendance in á class and the bad experience in the terminal exams.
2670,fear,I was crossing the street together with some colleagues of mine á when I suddenly found myself almost under the wheels of a truck.
671,joy,When I was notified that I had been accepted as a Psychology á student.
2011,sadness,Leaving the house myself and a female friend had shared for 6-8 á months because of the friendship which developed and our approach á to each other in occasional instances of several personal crises.
4343,fear,When my mother had a nervous illness.
2161,shame,I felt it when I felt that I was being observed as an object of á pleasure (sexual) when I opened and took off a shirt in a á classroom at P.V.C.
3055,guilt,My grandmother has been in a hospital for a week and I still á haven't had time to see her.
4548,disgust,"When I was getting up, I found a live cockroach in my bedroom."
2601,guilt,This feeling comes frequently when I go out at night and tell my á mother that I shall come back early. But then I get home a 5 or 6 a.m.
1308,joy,"After my vacations, one day after a lecture it occured to me to á buy a rose for my mother.  We went together to a pub and my á mother told me that she would be getting married next Spring.  I á did not known about it and so was all the more glad."
310,disgust,When I read a newspaper article on a young girl who had been á raped and assaulted one night by several men when she was unconscious.
3212,fear,After I had managed to fail my first year at University I was á scared as to what I was going to do with my future. I didn't want á a mundane 9-5 job and yet I didn't know if I could pay my way á through an unsubsidized year at university to settle down and á continue my studies.
5420,guilt,I did not do my homework and went to see a film.
4982,disgust,When I was told that I had no right to control my lover.
7585,sadness,When I was in lower six class during the Summer I joined a á research group of the Chinese university student union.  I knew á a lot of CV students there.  A year later one of them was á travelling in mainland China and he got T.B.  He died a few weeks á after coming back to H.K.  We all got together for the funeral á and when I looked at the body for the last time I felt extremely á sad.
6215,sadness,I never failed my examinations since Standard 1 but I experienced á sad moments when I sat for Standard 8 Examination and I was not á selected for Secondary School education in 1978.
1846,disgust,"On my way home in the middle of the night I saw a drunk man and a á woman who were quarreling, beating each other, shouting and so á on. I felt disgusted especially because they treated each other á in such a degrading way."
6034,shame,When I broke-down while seeing off my friend.
735,fear,"Climbing a mountain, I got stuck and realized I could get neither á up nor down."
5449,joy,Good dinner on the National Day.
1900,sadness,Death of a parent.
5455,guilt,"Did not pick up a water mellon skin, someone slipped on it."
5581,disgust,I saw part of a Prince video with him crawling out of a bath tub.
254,fear,When I nearly collided with another car.
187,disgust,"My superior at the summer job swindled customers as much as he á could, and once put me in a difficult situation after which I á could not but detest him."
2465,sadness,When on Christmas day my grandmother died. I received the á news when I was coming back from a party on the 24th at 5 am.
2971,guilt,I offended a person who had done much for me and who had helped á me for everything.
4309,anger,I was given an exam which I thought did not measure at all my á ability or my knowledge of the subject.
5424,sadness,Could not get into the university I wanted to get in.
2892,guilt,When I offend somebody unfairly.
5425,disgust,Noisy people in the library.
5871,fear,When my B.A results had not come.
322,anger,The sports fishermen who catch gulls instead of fish with their hooks. á   It is often a mistake but it makes me angry.
5589,shame,When I found out my roommate had been talking behind my back á about very personal things.
2302,guilt,When I answered to my mother with rudeness.
1231,anger,"A \higher status\"" colleague of mine despised my attitude and á organization of work."""
5742,shame,I borrowed $ 20.00 from a friend and paid him back much later á than I had originally intended.
5644,disgust,When a skunk invaded camp.
5320,sadness,When my father passed away.
5108,disgust,"When a girl said in my back that we were in love, and she had á actually refused me.  When I confronted her she started insulting á me."
3619,disgust,When I heard about the treatment of a friend in jail. Really á inhuman. I never realised that such things also happen in the á Netherlands.
4524,fear,I was in a camp and went out for a walk at night on my own.  I lost  á my way and spent several hours looking for the camp.
5171,shame,"My third grade teacher caught me cheating on a spelling test. I á couldn't spell Australia and she said in a loud voice something á like \We don't have cheaters in my class\""."""
207,disgust,"Out of sheer curiosity, I went to see a pornographic movie in á Copenhagen.  The room was full of men, who panted and á masturbated.  Very disgusting."
3675,disgust,"On school, during a fancy fair, there was a stand of amnesty á international. There I read (for the first time) a description of á the tortures of a woman, what they did to her."
6626,disgust,I saw a program on T.V where they had to saw a skull for an        á operation.
3413,disgust,Observation of people lost in the profit motive - i.e. business á managers to their actions esp.
575,fear,After having slept for a short time I woke up - I had the feeling á of someone standing beside me and was very frightened. I had to á turn on the light turn on the light for several minutes before I á was able to get to sleep again.
6612,disgust,My friend promised to take me out for a movie but he didn't turn á up.
7281,guilt,My friend did not do well in the examn because I did not help á him.
6735,shame,I was once chatting with friends. Then some boys came and joined á us. These boys took all my 3 friends away and I was left alone in á shame without knowing where to go from there.
76,guilt,I was the reason behind the break-up of my friend's relationship á with his girlfriend.  She finished with him.
47,shame,When I saw my 18 year old son grab an oxygen mask as he had á breathing difficulties.  I had a bad conscience because I had not á stopped smoking.  Medication for the dilation of his breathing á tubes also caused a sense of guilt in me.
5763,shame,"I was supposed to go out with my girlfriend one Saturday night, á but I got really drunk with some friends earlier that afternoon á and evening. So, I totally forgot about going out with my á girlfriend. She showed up the next day, and that was when I á remembered."
4807,disgust,When I was told that the brother who was staying with me would á not go to the training school that year but only the year after.
4000,guilt,When I had broken a piece of glass of the refrigerator by putting á a hot pan in it.
6306,shame,When I had been angry at my friend without any reason.
177,fear,"I was alone at home, in bed reading a womens' magazine in which á there were storiees of paranormal experiences.  My leg was á itching and I stretched my hand to scratch and I felt another á strange hand. (later I realized that it was the corner of the á blanket)"
3783,disgust,When I learnt that my best friend had failed the exams.
2348,sadness,"When I became conscious that men don't wnat anything they don't á have a goal. They have: sex, but this isn't important."
1365,sadness,"Christmas Eve: there was a tension between my parents, they did á not even try to restore a harmonic atmosphere. Mother stayed in á her room almost the whole day. I felt alone and was very sad."
2324,joy,I felt happy when my mother borrowed me the car in order to let á me go out alone for the first time.
3204,sadness,When my grandmother died very suddenly without warning.
6594,joy,When I was selected to a University College of Nursing.
188,shame,Once I arrived two hours late to my work place (a bank) and I was á still feeling feeble and tired.
333,guilt,I arrived an hour late for an important meeting ( I had á misunderstood the time).
4305,shame,Once when I said bad things concerning a friend.
4210,fear,When two drug addicts tried to take away my money.
4399,anger,When I was accused of something I had not done.
6581,fear,My father gave me money for school fees and I didn't pay school á fees instead I spent it on beer and did not tell him about this.
1016,sadness,"The long lasting illness of my grand-mother, and the changes in á family relationships caused by it."
7066,shame,China cannot buy your reference.
5233,joy,I was very happy when I passed and went to form I.  It was a á great relief for me as I had been very worried considering the á large number of pupils who fail.
4296,sadness,When I knew I had to go out with my mother on some errands.
4318,disgust,When I see someone vomitting.
4299,guilt,Once I had some homework to do and I did not do it.
4696,shame,"When a lady I was flirting with told all my class-mates that she á was in second year while I was in first year, everyone laughed á and started looking at me."
1688,joy,On New Year's Eve I went in a disco with friends. I amused myself á and got to know many other people.
4857,shame,When I failed the grade seven exams.
6805,shame,Sometime back I was coming from the wards and lice were all over á my uniform since patient's blankets have a lot of lice. It á happened that my boyfriend picked some lice from my white uniform. á I was so ashamed.
5646,guilt,I mangled the side of my dad's van on a fence. I did not realize á the extent of the damage until he showed it to me the next day. á The shock on my face was genuine so a friend interceded with a á good excuse which I did not deny. I never clarified the á situation.
5586,anger,When I found out that my good friend and roommate did not pay the á phone bill and electric bill like he promised and let me down.
7419,shame,I lost my temper at my mother while she was teaching me.  I felt á ashamed and sorry at having hurt my loving mother.
7170,disgust,Someone acting stupid in public.
6863,joy,"Coming to this lecture and listen to you talking about feelings, á I am so happy that foreigners have the same feelings as Chinese."
3699,joy,"Spending the nitht with close friends, after being away (out of á Nijmegen) for a while."
4963,guilt,I felt guilty of having suspected my room-mate of stealing the á money last term.
5352,joy,When I qualified for form I.
492,disgust,I was dominated by a certain person and even though I knew it I á could not change my own reactions.
383,joy,When we were able to afford a new sofa - a leather one which cost á SEK 20000.  I had waited for it for 2-3 years.
5869,guilt,Decided at the last minute not to do something that I said I á would do with a person.
5621,anger,I went out dancing and found my boyfriend kissing another girl.
3705,guilt,"After a quarrel with my mother in which matters were \inflated\"" á enormously."""
3502,anger,When my girlfriend of two years told me it was all over.
386,sadness,When I argue with my mother about the way she treats her two á children differently.
3238,guilt,This I experienced when going around with more than one girl.
4818,fear,I had gone for a medical check-up at the U.T.H and failed to make á it back on time for the C119 practical sessions at 1400 hours á last academic year.
2078,joy,Got through first semester University.
2751,sadness,I couldn't be with a girl on whom I was very keen.
532,fear,A reoccurring fear that something will happen to my relatives.
6568,anger,"I was angered by a classmate who poured soup on to my clothes. He á was trying to use a short-cut method in getting his supper. á Coming behind my back, he wasn't noticed by me and as I was á retreating from a hungry congested people I knocked his plate á with my head. He didn't accept being wrong but blamed me for á pouring his soup."
263,sadness,Long illness.
1442,shame,"When I had to go to the gynecologist and to sit on that special á chair, I felt ashamed."
3589,disgust,"When I had to eat scraps from a dust-bin, because of a bet."
4055,shame,"A friend came for dinner with me at home. His parents are á ordinary people. My mother, however, used the very expensive á porcelain dinner-service and the silver cutlery. I felt very á ashamed."
1614,sadness,When I heard about the death of somebody I liked very much and I á was not present either to see the person or to try to share my á emotions with other friends.
6796,sadness,When my grandmother passed away.
6174,shame,When I was 12 years old I was caught by the Ticket Collector when á travelling without a ticket.
1328,guilt,"One evening I went out with some friends of mine, although I was á supposed to stay at home with my little sister who is 11."
4951,fear,"When I impregnated a certain girl, I thought that I would be á forced to marry her or go to court."
4147,fear,"In a rather important exam, when they caught me red handed á copying."
6252,shame,Swearing in public.
2238,shame,"Saying something quite rude, but in jest, about a photograph of á someone, but it didn't quite turn out that way."
825,fear,Going home alone through the forest after a girl guide (scout ?) á meeting.
1612,fear,When I crashed my car.
2635,anger,"Once, during a performance I did not sing the way I had to."
6193,disgust,I felt disgusted when I was in a helpless position at the loss of á my fiancee.
3450,guilt,NO RESPONSE.
3846,fear,When I stayed alone in a house in Great Brittain and there was a á lot of rumour in the newspaper about a murderer still being free.
4267,anger,A typical family argument.
